,jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death,flag_otherresp,flag_otherunk,flag_nephr,flag_inflpn,flag_cov19mcod,flag_cov19ucod,flag_sept,flag_diab,flag_alz,flag_clrd,flag_stroke,flag_hd,flag_neopl,flag_allcause,flag_natcause
0,Alabama,2019,1,1/5/2019,1076.0,992.0,30.0,198.0,22.0,60.0,21.0,63.0,14.0,21.0,27.0,260.0,53.0,0.0,0.0,,,,,,,,,,,,,,,
1,Alabama,2019,2,1/12/2019,1090.0,994.0,25.0,187.0,24.0,49.0,18.0,85.0,21.0,13.0,11.0,275.0,65.0,0.0,0.0,,,,,,,,,,,,,,,
2,Alabama,2019,3,1/19/2019,1114.0,1042.0,22.0,238.0,18.0,48.0,31.0,80.0,30.0,25.0,15.0,283.0,53.0,0.0,0.0,,,,,,,,,,,,,,,
3,Alabama,2019,4,1/26/2019,1063.0,994.0,21.0,165.0,22.0,50.0,22.0,113.0,14.0,25.0,23.0,279.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
4,Alabama,2019,5,2/2/2019,1095.0,1025.0,18.0,199.0,19.0,52.0,19.0,80.0,20.0,24.0,21.0,290.0,49.0,0.0,0.0,,,,,,,,,,,,,,,
5,Alabama,2019,6,2/9/2019,1092.0,1005.0,18.0,182.0,25.0,56.0,28.0,76.0,27.0,22.0,28.0,278.0,59.0,0.0,0.0,,,,,,,,,,,,,,,
6,Alabama,2019,7,2/16/2019,1103.0,1017.0,27.0,214.0,25.0,51.0,27.0,78.0,17.0,22.0,20.0,262.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
7,Alabama,2019,8,2/23/2019,1064.0,992.0,16.0,183.0,22.0,52.0,17.0,70.0,23.0,26.0,20.0,273.0,52.0,0.0,0.0,,,,,,,,,,,,,,,
8,Alabama,2019,9,3/2/2019,1050.0,966.0,25.0,164.0,30.0,52.0,28.0,65.0,11.0,23.0,15.0,283.0,56.0,0.0,0.0,,,,,,,,,,,,,,,
9,Alabama,2019,10,3/9/2019,1062.0,964.0,18.0,189.0,27.0,50.0,19.0,81.0,12.0,19.0,17.0,260.0,63.0,0.0,0.0,,,,,,,,,,,,,,,
10,Alabama,2019,11,3/16/2019,1090.0,1015.0,21.0,216.0,24.0,60.0,26.0,71.0,22.0,25.0,22.0,278.0,57.0,0.0,0.0,,,,,,,,,,,,,,,
